SYMBOL,PERIOD,INTERVAL,SAVE
RELIANCE.NS,1y,1d,True
TCS.NS,1y,1d,True
HDFCBANK.NS,1y,1d,True
INFY.NS,1y,1d,True
ICICIBANK.NS,1y,1d,True
HINDUNILVR.NS,1y,1d,True
SBIN.NS,1y,1d,True
BAJFINANCE.NS,1y,1d,True
BHARTIARTL.NS,1y,1d,True
KOTAKBANK.NS,1y,1d,True
MARUTI.NS,1y,1d,True
WIPRO.NS,1y,1d,True
AXISBANK.NS,1y,1d,True
^NSEI,1y,1d,False
^NSEBANK,1y,1d,False
RELIANCE.NS,3y,1wk,True
TCS.NS,3y,1wk,True
HDFCBANK.NS,3y,1wk,True
INFY.NS,3y,1wk,True
ICICIBANK.NS,3y,1wk,True
HINDUNILVR.NS,3y,1wk,True
SBIN.NS,3y,1wk,True
BAJFINANCE.NS,3y,1wk,True
BHARTIARTL.NS,3y,1wk,True
KOTAKBANK.NS,3y,1wk,True
MARUTI.NS,3y,1wk,True
WIPRO.NS,3y,1wk,True
AXISBANK.NS,3y,1wk,True
^NSEI,3y,1wk,False
^NSEBANK,3y,1wk,False